index_text,grade_BERT
0,2.30696964263916
1,2.0789570808410645
2,1.1977325677871704
3,2.4345641136169434
4,1.9565114974975586
5,1.236577033996582
6,1.0953301191329956
7,1.480912685394287
8,1.553554892539978
9,2.646791696548462
10,2.8600001335144043
11,0.9003915786743164
12,1.937383770942688
13,2.9553680419921875
14,3.0242841243743896
15,2.445073366165161
16,2.4207749366760254
17,1.822784423828125
18,2.0574519634246826
19,0.9330921173095703
20,2.809321403503418
21,1.845130443572998
22,1.600419044494629
23,2.8296546936035156
24,2.5892646312713623
25,0.8658422827720642
26,2.726614475250244
27,1.0961720943450928
28,0.98906409740448
29,2.656388282775879
30,0.9796772003173828
31,2.4287099838256836
32,0.9790138602256775
33,3.0526089668273926
34,2.696669816970825
35,2.9239089488983154
36,2.9239089488983154
37,2.7322802543640137
38,2.6394083499908447
39,2.9192752838134766
40,1.7498100996017456
41,0.9259132146835327
42,1.0019558668136597
43,2.8842973709106445
44,1.8004952669143677
45,2.570678234100342
46,1.1252808570861816
47,1.0733420848846436
48,2.751788377761841
49,2.3746414184570312
50,2.727452516555786
51,2.318877696990967
52,2.4776406288146973
53,0.9041352272033691
54,1.059488296508789
55,2.175279378890991
56,2.2173173427581787
57,2.665534496307373
58,1.1001384258270264
59,2.722973108291626
60,2.7719383239746094
61,2.751779079437256
62,2.482130289077759
63,2.4249212741851807
64,2.6170175075531006
65,0.9509317278862
66,2.538702964782715
67,2.871086835861206
68,0.9314562082290649
69,2.6119205951690674
70,0.9632018804550171
71,1.2089747190475464
72,0.9934749603271484
73,2.747892379760742
74,1.8769890069961548
75,0.9763553142547607
76,0.9810003042221069
77,2.19935941696167
78,1.1766794919967651
79,2.8999695777893066
80,3.102724552154541
81,1.152722716331482
82,2.6736443042755127
83,2.7361361980438232
84,2.2308835983276367
85,0.890988290309906
86,0.8950333595275879
87,2.481149435043335
88,2.9223344326019287
89,1.1538876295089722
90,1.1062402725219727
91,1.1782315969467163
92,0.997812807559967
93,2.6427013874053955
94,1.1998989582061768
95,2.8410210609436035
96,2.841571569442749
97,2.7567667961120605
98,2.9082703590393066
99,2.753471851348877
100,2.6279003620147705
101,1.0477683544158936
102,2.885843276977539
103,2.4249937534332275
104,2.8802499771118164
105,3.093755006790161
106,2.977135419845581
107,2.639188528060913
108,0.928325355052948
109,2.9470393657684326
110,2.583754301071167
111,2.6727991104125977
112,2.7505736351013184
113,1.6842529773712158
114,1.6091388463974
115,2.369190216064453
116,2.4948160648345947
117,2.7096118927001953
118,2.7486743927001953
119,2.8195602893829346
120,2.663620710372925
121,2.687852621078491
122,2.806464195251465
123,2.614750623703003
124,2.912285566329956
125,3.0266711711883545
126,2.2310373783111572
127,2.856374502182007
128,2.301844358444214
129,2.9682013988494873
