index_text,grade_BERT
0,2.836702346801758
1,3.0246565341949463
2,3.539775848388672
3,3.132251501083374
4,3.4492247104644775
5,3.2833824157714844
6,3.091832399368286
7,3.3313956260681152
8,2.587198257446289
9,3.3207430839538574
10,3.5701351165771484
11,2.6623339653015137
12,3.428649663925171
13,3.0416250228881836
14,3.2371153831481934
15,3.163590908050537
16,2.6950461864471436
17,3.223543643951416
18,2.95281982421875
19,2.1745753288269043
20,3.0378129482269287
21,3.237833023071289
22,2.9118478298187256
23,3.0323750972747803
24,2.764559268951416
25,3.3167192935943604
26,3.117141008377075
27,2.4087727069854736
28,2.3275699615478516
29,2.3587424755096436
30,3.320427417755127
31,3.1383304595947266
32,2.2876157760620117
33,3.020336866378784
34,3.0358688831329346
35,3.1813929080963135
36,2.1780896186828613
37,1.8114817142486572
38,3.852358102798462
39,2.7331595420837402
40,3.3829379081726074
41,2.69480299949646
42,2.0904595851898193
43,1.884472131729126
44,3.3277432918548584
45,3.3063032627105713
46,2.983703851699829
47,3.870384931564331
48,3.1620590686798096
49,3.269115924835205
50,3.257716655731201
51,3.1409833431243896
52,3.3369054794311523
53,2.1977968215942383
54,3.0612592697143555
55,3.580749034881592
56,3.1010706424713135
57,2.950354814529419
58,3.2690117359161377
59,3.199984073638916
60,3.3955585956573486
61,3.1925487518310547
62,2.8037941455841064
63,3.4742212295532227
64,3.2607877254486084
65,3.3981714248657227
66,2.743872880935669
67,3.331740617752075
68,2.247833728790283
69,3.3387866020202637
70,1.7313956022262573
71,2.6975436210632324
72,3.2315666675567627
73,2.2341480255126953
74,2.690037250518799
75,3.2291102409362793
76,2.911367416381836
77,2.9481699466705322
78,3.1154568195343018
79,2.8783605098724365
80,4.167261123657227
81,2.472092628479004
82,3.545057535171509
83,3.3682475090026855
84,2.920351982116699
85,3.0469982624053955
86,2.74045991897583
87,3.6383237838745117
88,3.558284044265747
89,3.1478588581085205
90,3.671555995941162
91,3.054626226425171
92,3.2342727184295654
93,3.230494499206543
94,3.0695788860321045
95,2.2363874912261963
96,3.0044913291931152
97,3.1992340087890625
98,4.012087821960449
99,3.6934869289398193
100,2.48634934425354
101,1.7296099662780762
102,3.0828006267547607
103,2.9385828971862793
104,2.8908352851867676
105,2.5287060737609863
106,4.272181987762451
107,3.3559885025024414
108,1.4303021430969238
109,3.407085657119751
110,2.25048565864563
111,2.870661973953247
112,2.2400293350219727
113,3.2148239612579346
114,2.303446054458618
115,3.2223269939422607
116,3.234581232070923
117,3.493201494216919
118,3.2279322147369385
119,3.6575615406036377
120,3.0128536224365234
121,2.480963706970215
122,3.4411165714263916
123,3.6597516536712646
124,3.915255546569824
